B08201_002E,B08201_001E,state,county,tract,GEOID
100,1697,06,007,000102,06007000102
38,2060,06,007,000103,06007000103
206,2316,06,007,000104,06007000104
43,1987,06,007,000201,06007000201
148,1862,06,007,000202,06007000202
266,1890,06,007,000300,06007000300
39,1990,06,007,000401,06007000401
63,1571,06,007,000403,06007000403
18,1531,06,007,000404,06007000404
103,1661,06,007,000501,06007000501
233,2183,06,007,000502,06007000502
36,1539,06,007,000601,06007000601
71,1109,06,007,000603,06007000603
102,1642,06,007,000604,06007000604
291,2570,06,007,000700,06007000700
72,2613,06,007,000800,06007000800
22,1145,06,007,000901,06007000901
265,2866,06,007,000903,06007000903
200,2814,06,007,000904,06007000904
244,2079,06,007,001000,06007001000
148,1630,06,007,001100,06007001100
104,1577,06,007,001200,06007001200
162,1435,06,007,001300,06007001300
0,2432,06,007,001400,06007001400
88,2037,06,007,001500,06007001500
0,884,06,007,001601,06007001601
30,1326,06,007,001602,06007001602
71,2025,06,007,001702,06007001702
11,794,06,007,001703,06007001703
107,1509,06,007,001704,06007001704
52,837,06,007,001800,06007001800
30,492,06,007,001900,06007001900
57,756,06,007,002000,06007002000
44,613,06,007,002100,06007002100
34,1190,06,007,002200,06007002200
103,968,06,007,002300,06007002300
29,586,06,007,002401,06007002401
66,1317,06,007,002402,06007002402
96,1591,06,007,002500,06007002500
66,1074,06,007,002601,06007002601
34,1769,06,007,002602,06007002602
290,2419,06,007,002700,06007002700
359,2135,06,007,002800,06007002800
42,971,06,007,002900,06007002900
96,735,06,007,003001,06007003001
80,1059,06,007,003002,06007003002
69,1700,06,007,003100,06007003100
220,1686,06,007,003200,06007003200
74,1588,06,007,003300,06007003300
39,1102,06,007,003400,06007003400
22,1310,06,007,003501,06007003501
46,1493,06,007,003502,06007003502
35,1311,06,007,003600,06007003600
82,1816,06,007,003700,06007003700
